ID,REVIEWS
1,This phone very excellent 👌👌👌12/256 RAM /ROM😍READ MORE
2,Nice Product. Camera quality awesome.READ MORE
3,Good phone. Look and feel is good in hand. Best at this price rangeREAD MORE
4,"Phone is really good in performance, features and camera in this price range.READ MORE"
5,Product is awesome.Build quality - 4/5Camera - 4/5Performance - 4/5Display - 5/5Sound - 5/5Storage - 3/5Connectivity - 4.5/5READ MORE
6,Good 💯READ MORE
7,BestREAD MORE
8,"I think the camera quality is decent...I would like to give 4.3 out of 5 in camera department... battery backup  is excellent 5 out of 5 .. display is buttery smooth ...Dear my brothers and sisters trust me and go for it..it is better than Vivo, oppo, realme ,redmi  one plus and others Chinese brands....... Don't go for Samsung as hanging problem continues...So Besides Apple, Google, Motorola.. nothing is becoming a trustable brand...Best phone in this price point... Go for itREAD MORE"
9,incredible 😍 at the his priceREAD MORE
10,GoodREAD MORE
11,This phone very excellent 👌👌👌12/256 RAM /ROM😍READ MORE
12,Nice Product. Camera quality awesome.READ MORE
13,Good phone. Look and feel is good in hand. Best at this price rangeREAD MORE
14,"Phone is really good in performance, features and camera in this price range.READ MORE"
15,Product is awesome.Build quality - 4/5Camera - 4/5Performance - 4/5Display - 5/5Sound - 5/5Storage - 3/5Connectivity - 4.5/5READ MORE
16,Good 💯READ MORE
17,BestREAD MORE
18,"I think the camera quality is decent...I would like to give 4.3 out of 5 in camera department... battery backup  is excellent 5 out of 5 .. display is buttery smooth ...Dear my brothers and sisters trust me and go for it..it is better than Vivo, oppo, realme ,redmi  one plus and others Chinese brands....... Don't go for Samsung as hanging problem continues...So Besides Apple, Google, Motorola.. nothing is becoming a trustable brand...Best phone in this price point... Go for itREAD MORE"
19,incredible 😍 at the his priceREAD MORE
20,GoodREAD MORE
21,This phone very excellent 👌👌👌12/256 RAM /ROM😍READ MORE
22,Nice Product. Camera quality awesome.READ MORE
23,Good phone. Look and feel is good in hand. Best at this price rangeREAD MORE
24,"Phone is really good in performance, features and camera in this price range.READ MORE"
25,Product is awesome.Build quality - 4/5Camera - 4/5Performance - 4/5Display - 5/5Sound - 5/5Storage - 3/5Connectivity - 4.5/5READ MORE
26,Good 💯READ MORE
27,BestREAD MORE
28,"I think the camera quality is decent...I would like to give 4.3 out of 5 in camera department... battery backup  is excellent 5 out of 5 .. display is buttery smooth ...Dear my brothers and sisters trust me and go for it..it is better than Vivo, oppo, realme ,redmi  one plus and others Chinese brands....... Don't go for Samsung as hanging problem continues...So Besides Apple, Google, Motorola.. nothing is becoming a trustable brand...Best phone in this price point... Go for itREAD MORE"
29,incredible 😍 at the his priceREAD MORE
30,GoodREAD MORE
31,This phone very excellent 👌👌👌12/256 RAM /ROM😍READ MORE
32,Nice Product. Camera quality awesome.READ MORE
33,Good phone. Look and feel is good in hand. Best at this price rangeREAD MORE
34,"Phone is really good in performance, features and camera in this price range.READ MORE"
35,Product is awesome.Build quality - 4/5Camera - 4/5Performance - 4/5Display - 5/5Sound - 5/5Storage - 3/5Connectivity - 4.5/5READ MORE
36,Good 💯READ MORE
37,BestREAD MORE
38,"I think the camera quality is decent...I would like to give 4.3 out of 5 in camera department... battery backup  is excellent 5 out of 5 .. display is buttery smooth ...Dear my brothers and sisters trust me and go for it..it is better than Vivo, oppo, realme ,redmi  one plus and others Chinese brands....... Don't go for Samsung as hanging problem continues...So Besides Apple, Google, Motorola.. nothing is becoming a trustable brand...Best phone in this price point... Go for itREAD MORE"
39,incredible 😍 at the his priceREAD MORE
40,GoodREAD MORE
41,This phone very excellent 👌👌👌12/256 RAM /ROM😍READ MORE
42,Nice Product. Camera quality awesome.READ MORE
43,Good phone. Look and feel is good in hand. Best at this price rangeREAD MORE
44,"Phone is really good in performance, features and camera in this price range.READ MORE"
45,Product is awesome.Build quality - 4/5Camera - 4/5Performance - 4/5Display - 5/5Sound - 5/5Storage - 3/5Connectivity - 4.5/5READ MORE
46,Good 💯READ MORE
47,BestREAD MORE
48,"I think the camera quality is decent...I would like to give 4.3 out of 5 in camera department... battery backup  is excellent 5 out of 5 .. display is buttery smooth ...Dear my brothers and sisters trust me and go for it..it is better than Vivo, oppo, realme ,redmi  one plus and others Chinese brands....... Don't go for Samsung as hanging problem continues...So Besides Apple, Google, Motorola.. nothing is becoming a trustable brand...Best phone in this price point... Go for itREAD MORE"
49,incredible 😍 at the his priceREAD MORE
50,GoodREAD MORE
51,This phone very excellent 👌👌👌12/256 RAM /ROM😍READ MORE
